Branch Name,District,Branch Code
JAJA BRANCH,CHIRO DISTRICT,10374
Doba Branch,CHIRO DISTRICT,10375
Wadessa Branch,WESTERN FINFINE DISTRICT,10376
Sheik Mohammed Reshad,CHIRO DISTRICT,10377
Sumuda Branch,HAWASSA DISTRICT,10378
Wadera Branch,HAWASSA DISTRICT,10379
Taltale Branch,HAWASSA DISTRICT,10380
Ganda Wuha Branch,BAHIRDAR AREA BR RELATIONSHIP OFFIC,10381
Qebe Branch,NEKEMTE DISTRICT,10382
Debre Markos Branch,BAHIRDAR AREA BR RELATIONSHIP OFFIC,10383
Boku Migra Bake Branch,WESTERN FINFINE DISTRICT,10384
Goro Qerensa Branch,WESTERN FINFINE DISTRICT,10385
Bilile Branch,NORTH FINFINE DISTRICT,10386
Sigmo Branch,JIMMA DISTRICT,10387
Handhura Tulama Branch,EASTERN FINFINE DISTRICT,10388
Aksum Branch,MEKELE AREA BR RELATIONSHIP OFFICE,10389
Adigrat Branch,MEKELE AREA BR RELATIONSHIP OFFICE,10390
Laga Bari Branch,NORTH FINFINE DISTRICT,10391
Wara Ganu Branch,EASTERN FINFINE DISTRICT,10392
Biftu Branch,DIRE DAWA DISTRICT,10393
Bensa Daye Branch,HAWASSA DISTRICT,10394
Sora Lume Branch,CENTRAL FINFINE DISTRICT,10395
Saxamma Branch,JIMMA DISTRICT,10396
Elemo Qiltu Branch,DIRE DAWA DISTRICT,10397
Agamsa Migir Branch,NEKEMTE DISTRICT,10398
Babo Gambel Branch,NEKEMTE DISTRICT,10399
Tullu Farda,HAWASSA DISTRICT,10400
Harato Branch,NEKEMTE DISTRICT,10401
Mayu Muluke,DIRE DAWA DISTRICT,10402
Dedo Branch,JIMMA DISTRICT,10403
Chawaqa Branch,NEKEMTE DISTRICT,10404
Harbu Branch,EASTERN FINFINE DISTRICT,10405
Shabu Ejersa Branch,EASTERN FINFINE DISTRICT,10406
Fedis Branch,DIRE DAWA DISTRICT,10407
Burka Tirtira Branch,DIRE DAWA DISTRICT,10408
Mufti Dawud Branch,BAHIRDAR AREA BR RELATIONSHIP OFFIC,10409
Hikma Branch,DIRE DAWA DISTRICT,10410
Abubeker Al-Siddiq Br,DIRE DAWA DISTRICT,10411
Bereka Branch,DIRE DAWA DISTRICT,10412
Ansar Branch,WESTERN FINFINE DISTRICT,10413
Haramain Branch,EASTERN FINFINE DISTRICT,10414
Bilal Branch,ADAMA DISTRICT,10415
Hamza Mesgid Branch,SHASHEMENE DISTRICT,10416
Halal Branch,BAHIRDAR AREA BR RELATIONSHIP OFFIC,10417
Medinat Al-Munawer Br,DIRE DAWA DISTRICT,10418
Fethi Mesjid Branch,JIMMA DISTRICT,10419
Baro Tumsa Branch,EASTERN FINFINE DISTRICT,10420
Kello Mesqela Branch,CENTRAL FINFINE DISTRICT,10421
Debasso Branch,CENTRAL FINFINE DISTRICT,10422
OMER IBN AL-KHATTAB Br,HOSSANA DISTRICT,10423
Robale Branch,CENTRAL FINFINE DISTRICT,10424
