Branch Name,District,Branch Code
Sechduna Branch,HOSSANA DISTRICT,10329
Shinshicho Branch,HOSSANA DISTRICT,10493
Tona Branch,HOSSANA DISTRICT,10580
Wolayita Soddo Branch,HOSSANA DISTRICT,10094
Wolkite Branch,HOSSANA DISTRICT,10162
Aba Jifar Branch,JIMMA DISTRICT,10313
Agaro Branch,JIMMA DISTRICT,10116
Al-Rahma Branch,JIMMA DISTRICT,10516
Alge Sachi Branch,JIMMA DISTRICT,10237
Amana Branch,JIMMA DISTRICT,10447
Asandabo Branch,JIMMA DISTRICT,10199
Awetu Branch,JIMMA DISTRICT,10357
Bedelle Branch,JIMMA DISTRICT,10114
Bonga Branch,JIMMA DISTRICT,10504
Bure Ilu Branch,JIMMA DISTRICT,10502
Chawaqa Branch,JIMMA DISTRICT,10404
Chora Branch,JIMMA DISTRICT,10160
Dambi Branch,JIMMA DISTRICT,10212
Darimu Branch,JIMMA DISTRICT,10198
Dedo Branch,JIMMA DISTRICT,
Fethi Mesjid Branch,JIMMA DISTRICT,10419
Gachi Branch,JIMMA DISTRICT,10358
Gambella Branch,JIMMA DISTRICT,10141
Gera Branch,JIMMA DISTRICT,10252
Gore Branch,JIMMA DISTRICT,10275
Hirmata Branch,JIMMA DISTRICT,10342
Hurumu Branch,JIMMA DISTRICT,10503
Jiren Branch,JIMMA DISTRICT,10213
Limu Genet Branch,JIMMA DISTRICT,10109
Limu Seqqa Branch,JIMMA DISTRICT,10256
Melka Debana Branch,JIMMA DISTRICT,10470
Mettu Branch,JIMMA DISTRICT,10314
Mizan Aman Branch,JIMMA DISTRICT,10153
Newland Micro Branch,JIMMA DISTRICT,10480
Omo Nada Branch,JIMMA DISTRICT,10360
Saxamma Branch,JIMMA DISTRICT,10396
Sedecha Branch,JIMMA DISTRICT,10471
Seglen Ilu Branch,JIMMA DISTRICT,10014
Seka Chokorsa Branch,JIMMA DISTRICT,10500
Serbo Branch,JIMMA DISTRICT,10467
Shabe Branch,JIMMA DISTRICT,10356
Shenen Gibe Branch,JIMMA DISTRICT,10033
Sigmo Branch,JIMMA DISTRICT,10387
Sokoru Branch,JIMMA DISTRICT,10359
Sor Micro Branch,JIMMA DISTRICT,10479
Tepi Branch,JIMMA DISTRICT,10159
Tobba Branch,JIMMA DISTRICT,10549
Yayyo Branch,JIMMA DISTRICT,10139
Yebu Branch,JIMMA DISTRICT,10468
Adigrat Branch,MEKELE AREA BR RELATIONSHIP OFFICE,10390
Aksum Branch,MEKELE AREA BR RELATIONSHIP OFFICE,10389
Djibruk Branch,MEKELE AREA BR RELATIONSHIP OFFICE,10148
Mekele Branch,MEKELE AREA BR RELATIONSHIP OFFICE,10086
Shire Branch,MEKELE AREA BR RELATIONSHIP OFFICE,10123
Abba Sena Branch,NEKEMTE DISTRICT,10570
Agamsa Migir Branch,NEKEMTE DISTRICT,10398
Amuru Branch,NEKEMTE DISTRICT,10274
Anfillo Branch,NEKEMTE DISTRICT,10230
Anger Gute Branch,NEKEMTE DISTRICT,10050
Asosa Branch,NEKEMTE DISTRICT,10138
Ayira Branch,NEKEMTE DISTRICT,10319
Babo Gambel Branch,NEKEMTE DISTRICT,10399
Bake Jama Branch,NEKEMTE DISTRICT,10315
Begi Branch,NEKEMTE DISTRICT,10210
Bila Branch,NEKEMTE DISTRICT,10316
Bokku Branch,NEKEMTE DISTRICT,10290
Bonaya Boshe Branch,NEKEMTE DISTRICT,10344
Burqa Jato Branch,NEKEMTE DISTRICT,10515
Chanqa Birbir Branch,NEKEMTE DISTRICT,10201
Dambi Dollo Branch,NEKEMTE DISTRICT,10016
Fincha'a Branch,NEKEMTE DISTRICT,10469
Ganji Branch,NEKEMTE DISTRICT,10208
Gida Ayana Branch,NEKEMTE DISTRICT,10161
Gidami Branch,NEKEMTE DISTRICT,10060
